gene	conMean	treatMean	logFC	pValue	fdr
CD1B	0.103490829093541	0.65632950188196	2.664917355378	5.38093748335224e-56	1.37403649552291e-54
B3GALT2	0.0662284147817372	0.133563987028953	1.0120088332035	6.32548500757684e-25	7.56967574508411e-24
SCIMP	0.516491863518931	1.70647543719376	1.72420212151294	4.31827312932325e-107	7.81773523835559e-105
XPNPEP2	0.202762330082405	0.472213097345212	1.21964840869826	1.06342077317287e-37	1.80270885209773e-36
SH2D2A	1.0615902335412	2.7661108596882	1.38163197439639	6.23623090351191e-69	2.17436584169115e-67
CCR1	2.98591862895323	8.12806143808463	1.4447364568738	1.7018617130831e-80	7.90525962185739e-79
RASAL3	1.09114020051225	3.62118524365256	1.73062549519641	1.73234436005887e-107	3.30573442005288e-105
LY86	3.94249844454343	8.2652626169265	1.06795047400116	2.50153219039891e-78	1.10044037572034e-76
IL12RB1	0.368367517616926	1.48568283942094	2.01190840877708	2.4557073923208e-124	3.85300489855134e-121
VAV1	1.69373023875278	4.21815420668151	1.31640772371706	1.22930288621547e-89	7.74954734653958e-88
IL10RA	1.848453744098	6.59506482405345	1.83506789822654	3.83986591180189e-121	3.6148497693703e-118
PRKCB	0.329795445008909	1.69198601737194	2.35907426787801	6.83669841315417e-102	7.97859655307025e-100
BTK	1.16292457870824	3.23888573474388	1.47774003783873	2.97544622613625e-110	6.77681873536613e-108
GNGT2	0.516049232093541	1.13725152293987	1.13997075338203	2.3806349944761e-107	4.42328246802592e-105
CD72	0.723098154454343	2.12946533608018	1.55822784633943	1.69759344480326e-94	1.32440425602579e-92
IL32	7.8035771091314	21.6123675367483	1.4696496187907	1.40489908622293e-74	5.66816571330114e-73
CHRDL1	2.7887158893029	5.78318363733185	1.05226295173314	1.17417892845435e-18	1.11129897109275e-17
CD37	2.45964393830735	8.94371926057906	1.86242541931525	1.35256347892058e-125	2.72850698369107e-122
CTSC	5.62878612138085	12.9818740178174	1.20560292491055	9.88220298392255e-71	3.60585499576151e-69
PRDM8	0.212865097737194	0.49008452532294	1.20309117481796	2.96066555076344e-65	9.50171778234785e-64
APOBEC3A	0.232727173026726	1.09018555462806	2.22786213574003	3.09448454072791e-47	6.47366165920279e-46
CLEC9A	0.101786139271715	0.27202668344098	1.41820705841496	1.23099279315253e-43	2.36501350096692e-42
TNFRSF4	1.34466631216036	3.14369881358575	1.22521480194356	1.03346451447559e-51	2.36524350225443e-50
CIITA	0.941458821180401	3.25174450178174	1.78824400672375	1.00031227322271e-96	8.99707618482668e-95
IFI44L	4.37509144438753	9.52843920044544	1.12292674257298	2.79728440233534e-36	4.59842293892635e-35
CYTIP	2.07411204855234	6.14737348685969	1.56747630528348	3.81852468538105e-95	3.09893029208424e-93
C1S	34.9125855924276	77.3867012672606	1.14833845828023	6.43677418005473e-62	1.89361850409485e-60
TBX10	0.378128516249443	1.49073999121826	1.97908009239086	0.00264616633604199	0.00452598290107182
CCL3	2.16240038240535	5.08501764342984	1.23361910767882	4.50937409465082e-51	1.01720242157451e-49
MS4A6A	3.95064419265033	10.1935832583519	1.36750145457088	1.22389216649281e-106	2.03324485682882e-104
NRROS	1.46739379153675	3.00656755790646	1.0348612900946	2.16059569794735e-72	8.20155157277272e-71
HEPHL1	0.13376626922049	0.318923150380846	1.25349445662112	0.00285295833562188	0.00484972007431282
GPR55	0.121971497360802	0.383857998452116	1.65402865568156	4.99657099849176e-60	1.39164850236099e-58
FCRL6	0.213832292122494	0.800533856726058	1.90448267976398	1.5261049824388e-77	6.59025335077012e-76
PNOC	0.120735458957684	0.642699423732739	2.41229473345124	1.58167738068967e-63	4.86598394176881e-62
PDE6G	0.320566621314031	0.921468157238307	1.52331009804983	4.47245895003684e-84	2.28824611715472e-82
PRSS12	0.587666351714922	1.34900943238753	1.19883123502217	8.23433846755394e-09	3.25432671425494e-08
STAT1	46.2670480289532	94.7594540579065	1.03428483299856	1.0278125821095e-44	2.02141246127692e-43
RGL4	0.136013676759465	0.275381962561247	1.01768233850689	1.25617744013974e-40	2.25680427890754e-39
SIGLEC14	0.82771506503118	2.2370637010245	1.43440021724404	3.84835131346612e-59	1.04504940187414e-57
TLR7	1.17354101717149	2.78215601180401	1.24533505523472	7.97639074370349e-57	2.07812940390843e-55
HLA-DQB2	4.98066957478842	14.8434215175947	1.5754120733775	2.82682331061031e-61	8.12985172487336e-60
CCL25	0.0735495351670379	0.190016224815145	1.36933448166526	1.22212522369524e-19	1.20767181832054e-18
MGAM2	0.261031853207127	0.795394318565702	1.60744439033628	0.000106305522476517	0.000230409173882497
AIF1	9.56932256347439	23.9555804521158	1.32387306948935	6.50898891668641e-114	2.55315090257024e-111
CARD16	1.78253712783964	4.37329923407572	1.29478993889024	4.56172750559863e-87	2.60794146180398e-85
SAMD3	0.0811472880489978	0.365038629799555	2.16943435797033	8.53280349153843e-101	9.7170740406463e-99
RGS13	0.0750233694922049	0.15230172767706	1.02152034282433	7.37763242758978e-23	8.24205280933507e-22
STX11	1.14727092828508	2.79451652048998	1.28439257953947	9.49255343954382e-83	4.67053474285011e-81
BIRC7	0.151774604873051	0.315514170552339	1.0557743844949	2.07919676024155e-19	2.03326436643843e-18
MFNG	2.08715877371938	4.86320707750557	1.22036767053769	1.01147290500985e-84	5.30966873295319e-83
KRT1	1.061171256902	17.6136804488241	4.05296698836206	4.94525649621727e-05	0.00011292362060654
FABP7	8.96380879786637	26.4345220499911	1.5602394613271	5.66526817467402e-09	2.28699976828393e-08
MS4A4A	2.45457866302895	6.61241687082405	1.42970227807642	7.91406751136114e-90	5.03398861837525e-88
CD8A	1.50018314184633	6.95955985501114	2.21385743308517	2.34606027696512e-92	1.64819488413057e-90
HLA-DMA	15.9615520579065	42.1942928396437	1.40244693243155	2.05871085470669e-106	3.34150068727738e-104
CLEC10A	0.671334563158129	3.08929281467706	2.20217279594081	5.15744874675508e-68	1.75913849644755e-66
LILRB3	0.242432415055679	0.645790549732739	1.41348371822928	1.79032854966165e-94	1.38907854119627e-92
NUGGC	0.10595823511804	0.514912761358575	2.28083230673651	3.82080154305875e-73	1.47817913943925e-71
TNFRSF17	0.56656452857461	2.75410651737194	2.28127217246507	7.41251959160434e-50	1.63040793073279e-48
SLC1A3	1.78105612271715	4.00771236636971	1.17004599218058	9.20392028721514e-65	2.90108389231618e-63
ACKR1	6.48905025242984	15.18341845398	1.22641739762592	2.37914389670283e-20	2.43272201052431e-19
SLFN12L	0.132766986115813	0.566055348485523	2.09204667540207	5.89498068339294e-88	3.49760597605848e-86
THEMIS2	2.54775012048998	6.70369869487751	1.39573351980938	2.81087673008107e-97	2.57742794191395e-95
SIRPB2	0.429811156481069	1.06649070523385	1.3110965562678	3.13914247217328e-81	1.48253614881468e-79
MAL	0.741792597140312	1.52216834026726	1.03704014341107	2.03542997971889e-63	6.20784162928951e-62
ZNF683	0.451144200955457	2.22103149064588	2.29956930165107	1.6965262797358e-85	9.21409522928817e-84
GZMM	0.579396288619154	3.16831162523385	2.45109189295044	8.84999072701272e-87	4.97891310980664e-85
IL18BP	1.91897759064588	5.08093845879733	1.40475712588091	2.02297636472931e-99	2.05514023354983e-97
CD226	0.123008372498886	0.415382565077951	1.75568414780199	1.35764542844472e-94	1.07102296620491e-92
ORM2	2.80690749180401	7.03863172138085	1.32631348538862	1.84404320509161e-06	5.20794681981972e-06
FATE1	0.192573128200445	0.4822106055902	1.32425697900402	4.02469336457573e-10	1.87134326641995e-09
PYHIN1	0.207396968494432	1.22102762728285	2.55762913182573	2.53722355410911e-106	4.07137884176986e-104
CD3D	2.16474033730512	13.1262213991091	2.60018578448214	4.82999000644672e-114	2.006008496501e-111
