gene	conMean	treatMean	logFC	pValue	fdr
PDPN	3.87242755545657	9.35752156570156	1.27288821838098	8.02417053368284e-85	1.25075605295716e-82
CDH11	6.11553905389755	16.0338870935412	1.39057264454414	4.68672467190601e-90	9.34656959937021e-88
SLC38A4	0.141814092287305	0.404764663494432	1.51308244373565	1.63412991443994e-72	1.1850500411615e-70
CXCL12	11.1585245639198	29.488420908686	1.40200228941135	8.64433772535532e-91	1.83165412333662e-88
PDE1B	0.531002751247216	1.12427905211581	1.0822089235888	4.16703782493247e-67	2.30649795689425e-65
LRRTM2	0.0634634646815145	0.137430316743875	1.11470210372258	7.25516089065853e-35	9.08469407555128e-34
JCAD	3.19898316904232	6.94820314253898	1.11902653235311	9.1469891827929e-104	6.89124001710303e-101
CLEC4G	0.0530061271069042	0.142904650146993	1.43082182374431	4.88747412587106e-13	1.937983526928e-12
ADGRA2	3.28684820131403	7.1587624532294	1.12300537901706	1.77509623897457e-82	2.31462308622444e-80
PODNL1	1.78447919853007	3.88086489487751	1.12087512508829	7.4626181597154e-61	3.15266557208413e-59
COL16A1	7.82586757772829	16.1196362605791	1.0424965862611	9.47618368459199e-57	3.18874756691692e-55
POSTN	122.780402606013	343.631993719376	1.48478405861038	1.3248927857128e-75	1.08890127679099e-73
CLEC4C	0.0718166617305123	0.178642154855234	1.31468206019285	1.5340462736485e-12	5.84195493315004e-12
MMP19	1.67690647193764	4.08345296770601	1.28398738513118	2.2317912785744e-99	1.00884405095825e-96
FGL2	5.05018064944321	12.0871634988864	1.25906882590797	3.89568344986863e-60	1.60575572229995e-58
COL8A2	8.39312899356347	22.9702297616927	1.45248462867095	6.04684324631227e-76	5.12507757895254e-74
LAMA4	6.10132565812918	12.4647424432071	1.03065843132123	8.72677010401015e-95	2.74755808345906e-92
COL8A1	6.63566470839644	18.0779929360802	1.44592161931456	2.10881512934747e-76	1.88142381375533e-74
CD163	5.7844418844098	12.0705550213808	1.06124234299639	6.93981470300961e-29	6.74146326558118e-28
PDGFRB	18.3002892420935	40.1881040979955	1.13490206789195	1.35743686636355e-92	3.34694569904656e-90
JCHAIN	67.9713705442093	174.834212837639	1.3629884115077	3.41230029611096e-25	2.82331936031487e-24
IRF8	2.66053438305123	5.35398035367483	1.00889579693459	6.03052588007155e-43	1.11721258824659e-41
IL6	0.866313186256125	1.96592137922717	1.18224504483213	5.68541289492976e-14	2.4245246625202e-13
THEMIS	0.343073906155902	0.750430728545657	1.12919950417721	1.37165258331046e-32	1.53981628164513e-31
TNNT3	0.252638599262806	0.708541253737194	1.48777677690359	1.60459014125974e-24	1.28376677909282e-23
GAPT	0.927569108162584	1.96341290930958	1.08183692784225	6.79727127259133e-50	1.73266533322577e-48
KCNA3	0.302015167619154	0.760218225879733	1.33179260805087	1.84832827318644e-36	2.5090269982664e-35
CCL11	0.875459751046771	2.00720131614699	1.19707256395268	8.99189484814569e-32	9.7864435020629e-31
CNR2	0.0782798182806236	0.201786612846325	1.36611815272959	1.29831384835856e-14	5.82608672984462e-14
NETO1	0.11482890886637	0.305714372516704	1.41269848421645	6.14350097316647e-18	3.44776519944972e-17
LMOD1	4.01246815011136	8.53234201759465	1.08845185648579	1.93035410396504e-60	8.0794851863796e-59
KIF26B	1.75402875040089	3.59083859487751	1.03364841126627	5.89488684460817e-54	1.78438751115472e-52
CYS1	1.17068465587973	3.07196296770601	1.3918083112214	1.70917813086379e-76	1.53497779024132e-74
TLR8	0.507316989024499	1.11085759167038	1.130714500427	1.65466086145347e-39	2.60916929560122e-38
CLEC2B	2.85928010712695	5.98265554342984	1.06513404159131	1.18096879483946e-91	2.75741050261999e-89
PPP1R16B	1.27272129501114	2.67303355917595	1.07056142293297	1.3489775043575e-33	1.5907377336167e-32
SGCD	1.04134281407795	2.82083683518931	1.43767813135214	2.81673811283258e-81	3.38033500425864e-79
PDE2A	0.789191920534521	1.61622194922049	1.03417723971444	1.26428657804515e-39	2.01705768057297e-38
PDGFRL	5.87935511291759	15.2063059510022	1.37093989912412	3.72956218184787e-81	4.36005109896888e-79
SALL1	0.221894376817372	0.482757799305122	1.12142645951623	2.96169579988674e-59	1.13777781139558e-57
FOS	50.5060393962138	102.617736783964	1.02275229515643	5.04868152246778e-20	3.19631980047552e-19
TENM4	0.667603565723831	1.42022116971047	1.08905205138803	4.65121939182495e-71	3.16960734535368e-69
